UA-KRIMEA,72639,Крим
UA-VN,90726,Вінницька область
UA-LUTSK,71064,Волинська область
UA-DP,101746,Дніпропетровська область
UA-DN,71973,Донецька область
UA-ZT,71245,Житомирська область
UA-UZ,72489,Закарпатська область
UA-ZP,71980,Запорізька область
UA-IF,72488,Івано-Франківська область
UA-KIEV,71248,Київ та Київська область
UA-KR,101859,Кіровоградська область
UA-LG,71971,Луганська область
UA-LVIV,72380,Львівська область
UA-MK,72635,Миколаївська область
UA-OD,72634,Одеська область
UA-PL,91294,Полтавська область
UA-RV,71236,Рівненська область
UA-SUMY,71250,Сумська область
UA-TE,72525,Тернопільська область
UA-KH,71254,Харківська область
UA-HS,71022,Херсонська область
UA-KM,90742,Хмельницька область
UA-CK,91278,Черкаська область
UA-CV,72526,Чернівецька область
UA-CN,71249,Чернігівська область
